Model,Accuracy,F1_Score,AUC-ROC
Decision Tree,0.8231292517006803,0.16129032258064516,0.6636661211129296
RF Baseline,0.8401360544217688,0.2033898305084746,0.7980015505211474
RF Optimized,0.8435374149659864,0.20689655172413793,0.789042983891808
RF Tuned (Best),0.826530612244898,0.4631578947368421,0.7766388147127229
