max_depth,train_accuracy,test_accuracy,accuracy_gap
1,0.8469387755102041,0.7993197278911565,0.04761904761904767
2,0.8537414965986394,0.8061224489795918,0.04761904761904756
3,0.8613945578231292,0.8231292517006803,0.03826530612244894
4,0.8784013605442177,0.826530612244898,0.0518707482993197
5,0.8903061224489796,0.8435374149659864,0.04676870748299311
6,0.9107142857142857,0.8129251700680272,0.09778911564625847
7,0.9345238095238095,0.8197278911564626,0.11479591836734693
8,0.9498299319727891,0.8163265306122449,0.13350340136054417
9,0.9693877551020408,0.8061224489795918,0.16326530612244894
10,0.9787414965986394,0.8027210884353742,0.17602040816326525
11,0.9829931972789115,0.7857142857142857,0.19727891156462585
12,0.9872448979591837,0.7959183673469388,0.19132653061224492
13,0.9906462585034014,0.7789115646258503,0.21173469387755106
14,0.9940476190476191,0.7891156462585034,0.20493197278911568
15,0.9965986394557823,0.7993197278911565,0.19727891156462585
16,0.9991496598639455,0.7687074829931972,0.2304421768707483
17,0.9991496598639455,0.7687074829931972,0.2304421768707483
18,1.0,0.782312925170068,0.217687074829932
19,1.0,0.782312925170068,0.217687074829932
20,1.0,0.782312925170068,0.217687074829932
21,1.0,0.782312925170068,0.217687074829932
22,1.0,0.782312925170068,0.217687074829932
23,1.0,0.782312925170068,0.217687074829932
24,1.0,0.782312925170068,0.217687074829932
25,1.0,0.782312925170068,0.217687074829932
