n_estimators,train_accuracy,test_accuracy,test_f1
50,0.9991496598639455,0.8401360544217688,0.2033898305084746
100,1.0,0.8435374149659864,0.20689655172413793
150,1.0,0.8401360544217688,0.22950819672131148
200,1.0,0.8367346938775511,0.2
300,1.0,0.8401360544217688,0.22950819672131148
